t,x_meters,y_meters
0.0333,15.7293,1.4668
0.0667,16.1323,1.4366
0.1333,16.3087,1.2555
0.1667,0.2084,1.4092
0.2000,15.4812,1.2107
0.2333,16.1659,1.4729
0.2667,1.0668,1.2620
0.3000,0.1191,2.1237
0.3333,0.5787,2.0291
0.3667,0.1786,2.2626
0.4000,16.4041,1.3629
0.4333,0.3595,1.6959
0.4667,6.6291,0.0000
0.5000,16.0369,1.8003
0.5333,0.1439,2.4876
0.5667,0.1389,1.3000
0.6333,0.3672,1.3116
0.6667,0.0000,2.2568
0.7000,0.1191,1.3695
0.7333,0.2183,1.9351
0.7667,7.7952,6.4253
0.8000,6.9268,5.6178
0.8333,4.5352,4.5153
0.8667,4.5352,4.5153
0.9000,7.0112,8.3853
0.9333,16.2651,2.4313
0.9667,0.5596,2.5853
1.0000,0.2481,1.8465
1.0333,0.5611,2.5895
1.0667,0.6450,2.3023
1.1000,0.6550,2.3222
1.1333,16.7018,1.3993
1.1667,16.6919,1.3596
1.2000,8.1127,7.1220
1.2333,0.3473,1.5382
1.2667,16.7032,1.3336
1.3000,16.7216,1.3141
1.3333,16.7216,1.3000
1.3667,16.1212,2.6860
1.4000,0.3573,1.4753
1.4333,0.6252,1.4828
1.5000,0.4069,1.5423
1.5333,0.2282,1.2669
1.6000,16.6125,1.8458
1.6333,16.8407,1.7764
1.6667,0.6351,1.6374
1.7000,16.7415,1.8458
1.7333,0.7046,2.9474
1.7667,0.8060,2.0035
1.8000,0.8138,2.0145
1.8333,0.3870,2.3859
1.8667,0.4587,1.9649
1.9000,0.4466,1.9492
1.9333,0.4565,2.3561
1.9667,0.3643,2.3458
2.0000,0.4466,1.9294
2.0333,16.6075,1.7284
2.0667,0.4366,1.9244
2.1000,16.4934,1.9748
2.1333,0.3622,2.2283
2.1667,0.3672,2.5149
2.2000,8.1177,6.8044
2.2333,0.3785,1.7404
2.2667,15.0716,2.2963
2.3000,0.3771,1.7466
2.3333,16.2254,1.1131
2.3667,13.8559,2.8371
2.4000,16.2205,1.1181
2.4333,13.0768,3.1199
2.4667,12.6926,3.2616
2.5000,15.5705,2.4925
2.5333,0.4863,1.9550
2.5667,7.8200,6.4902
2.6000,11.1345,3.6725
2.6333,8.1226,6.8135
2.6667,8.1276,6.8073
2.7000,10.0032,3.8783
2.7333,8.1226,6.8101
2.7667,9.2490,3.9530
2.8000,8.9116,3.9861
2.8333,8.5423,4.0010
2.8667,16.4438,1.5026
2.9000,7.8043,3.9864
2.9333,7.4478,3.9613
2.9667,7.0856,3.9352
3.0000,6.7200,3.8981
3.0333,6.3711,3.8471
3.0667,16.2552,2.7654
3.1000,5.6268,3.7314
3.1333,5.2625,3.6463
3.1667,4.9073,3.5486
3.2000,4.5600,3.4651
3.2333,4.2027,3.3460
3.2667,3.8405,3.1996
3.3000,3.4808,3.0483
3.3333,16.5430,1.6870
3.3667,2.7514,2.7468
3.4000,6.7482,5.4680
3.4333,16.5430,1.6904
3.4667,1.5580,2.5471
3.5333,16.9499,1.2802
3.5667,16.6348,1.9244
3.6000,16.8506,1.3695
3.6333,16.8445,1.3746
3.6667,16.8445,1.3746
3.7000,16.5926,1.9054
