t,x_meters,y_meters
0.0333,0.3747,1.4043
0.0667,0.3851,1.3898
0.1000,0.0691,0.7085
0.1333,16.3616,0.8525
0.1667,0.2469,0.8064
0.2000,0.2000,0.8899
0.2333,0.0000,0.2246
0.2667,0.0197,0.2205
0.3000,16.4061,1.2293
0.3333,16.0802,1.5782
0.3667,16.0802,1.5947
0.4333,16.4999,0.5505
0.5000,16.1345,0.5431
0.5333,0.0395,0.8229
0.5667,16.5439,0.7711
0.6000,0.2370,0.5365
0.6333,0.3259,0.4463
0.6667,7.5884,6.0847
0.7000,7.5884,6.0847
0.7333,0.0790,0.9710
0.7667,0.1234,0.8048
0.8000,15.9963,0.0864
0.8333,0.1382,0.9512
0.8667,14.6803,1.1153
0.9000,14.2732,1.3083
0.9333,15.1767,1.3363
0.9667,13.4685,1.6687
1.0000,13.0674,1.8252
1.0333,16.6134,0.0000
1.0667,16.3913,0.9035
1.1000,11.9034,2.2069
1.1333,11.5331,2.3056
1.1667,15.9902,0.5909
1.2000,10.7605,2.4951
1.2333,7.7562,5.6135
1.2667,7.7562,5.6135
1.3000,7.7612,5.6128
1.3333,7.7612,5.6128
1.3667,15.6902,1.3758
1.4000,8.5511,2.8043
1.4333,15.6704,1.1981
1.4667,7.7612,5.6128
1.5000,7.4494,2.8047
1.5333,7.0946,2.7796
1.5667,6.7342,2.7537
1.6000,0.3653,1.3503
1.6333,6.0233,2.6611
1.6667,16.2728,0.7949
1.7000,16.3715,0.3588
1.7333,4.9203,2.4662
1.7667,4.5696,2.3722
1.8000,4.2163,2.2810
1.8333,3.8707,2.1658
1.8667,0.4246,0.7504
1.9000,0.4152,0.7525
1.9333,0.4147,0.7537
1.9667,2.4241,1.5749
2.0000,15.8531,0.0148
2.0333,16.4752,0.9566
2.0667,1.2392,1.3755
2.1000,16.1543,0.4575
2.1333,0.2518,0.3012
2.1667,16.0457,0.4674
2.2000,16.0471,0.4810
2.2333,16.0626,0.4909
2.2667,16.0654,0.4912
2.3333,1.2639,0.1119
