t,x_meters,y_meters
0.0333,14.2187,1.7462
0.0667,13.7498,2.2755
0.1000,15.8280,0.6517
0.1333,15.1775,1.3873
0.1667,15.9555,0.3434
0.2000,12.8113,3.2646
0.2333,12.5740,3.4704
0.2667,15.6906,0.7229
0.3000,12.1089,3.8826
0.3333,13.4336,0.4023
0.3667,11.6632,4.2230
0.4000,15.3324,0.7376
0.4333,15.3373,1.6093
0.4667,10.9854,4.6553
0.5000,10.7548,4.7853
0.5333,10.5340,4.8908
0.5667,5.3578,3.8083
0.6000,10.0900,5.1018
0.6333,15.2784,1.2699
0.6667,0.0000,0.8347
0.7000,15.8966,1.1301
0.7333,9.2166,5.3545
0.7667,16.1076,0.7916
0.8000,8.7873,5.4035
0.8333,8.5763,5.4232
0.8667,15.4354,0.8537
0.9000,15.4011,0.8161
0.9333,15.3422,1.6796
0.9667,15.3471,1.6761
1.0000,15.3641,1.6720
1.0333,7.2770,5.2958
1.0667,7.0670,5.2287
1.1000,6.8485,5.1631
1.1333,15.6170,0.2175
1.1667,6.4175,4.9865
1.2000,0.1178,0.8308
1.2333,15.4256,1.6649
1.2667,1.7418,0.0114
1.3000,1.8301,0.0016
1.3333,5.3499,4.3752
1.3667,5.1346,4.2071
1.4000,4.9162,4.0396
1.4333,2.0263,0.0114
1.4667,15.4796,0.9240
1.5000,4.2734,3.4655
1.5333,7.0897,6.2450
1.5667,7.0897,6.2450
1.6000,16.1223,0.7458
1.6333,0.5004,0.1120
1.6667,6.2213,4.3618
1.7333,2.7328,1.7287
1.7667,16.0340,0.9265
1.8000,1.1383,1.5864
1.8667,2.5072,0.0016
1.9000,2.5121,0.0000
1.9333,15.8819,0.7376
1.9667,6.2213,4.3578
2.0000,6.2213,4.3578
2.0333,6.2213,4.3578
2.0667,6.2213,4.3578
2.1000,6.2213,4.3578
2.1333,6.2213,4.3578
2.1667,6.2213,4.3578
2.2000,6.2115,4.3564
