t,x_meters,y_meters
0.0333,0.6469,1.6943
0.0667,23.5322,1.9236
0.1000,0.0000,2.2515
0.1333,23.1788,1.0487
0.1667,0.2446,2.2617
0.2000,1.9638,1.8642
0.2333,0.3194,2.4282
0.2667,23.0497,0.6308
0.3000,0.8743,2.2153
0.3333,1.0397,1.2050
0.3667,23.0089,1.2730
0.4000,1.7192,1.8302
0.4333,0.5572,2.3648
0.4667,0.8290,1.9933
0.5000,1.2707,1.9457
0.5333,1.4882,3.0058
0.5667,2.0726,3.1876
0.6000,0.6659,0.3262
0.6333,0.6523,0.2854
0.6667,3.9669,3.6689
0.7000,4.5597,3.8076
0.7333,0.6795,0.4213
0.7667,0.6116,1.5856
0.8000,0.6184,1.5788
0.8333,0.5912,2.3195
0.8667,1.5833,2.2651
0.9000,0.5885,2.2172
0.9333,0.6388,0.9536
0.9667,9.7649,4.3309
1.0000,1.3115,0.2061
1.0333,0.9067,0.2906
1.0667,1.4270,2.1473
1.1000,11.9733,4.1814
1.1333,1.3319,2.1065
1.1667,1.4950,2.1201
1.2000,23.1720,2.4384
1.2333,11.9054,8.2640
1.2667,11.9054,8.2699
1.3000,15.2712,3.5238
1.3333,15.8467,3.3727
1.3667,16.3903,3.1961
1.4000,20.7257,1.3545
1.4333,0.6456,2.1768
1.4667,18.0483,2.5845
1.5000,2.2289,0.2401
1.5333,19.1628,2.0952
1.5667,20.4699,1.3162
1.6000,20.2908,1.5448
1.6333,20.3681,1.3306
1.6667,23.7700,0.0136
1.7000,20.2546,1.3319
1.7667,0.7339,1.3455
1.8000,0.6931,1.3727
1.8333,22.7099,0.0000
1.8667,22.8187,0.5844
1.9000,22.5468,0.0000
1.9333,0.6349,0.2226
1.9667,0.7464,1.2887
2.0000,19.7812,1.2769
