t,x_meters,y_meters
0.0667,0.3950,1.5256
0.1000,23.5384,2.0433
0.1333,0.4155,1.5415
0.1667,0.0545,1.7027
0.2000,23.6951,0.6697
0.2333,23.7700,0.7220
0.2667,0.6675,1.4848
0.3000,23.4431,1.9434
0.3333,23.0821,2.1136
0.3667,0.0000,1.1170
0.4000,23.3069,0.8446
0.4333,23.2796,0.8990
0.5000,0.0000,1.9888
0.5333,23.0208,0.1010
0.5667,23.2251,2.1114
0.6000,8.3774,7.6010
0.6667,0.7015,1.0971
0.7000,21.7706,1.7148
0.7333,21.3930,2.1409
0.7667,20.9980,2.5223
0.8000,20.6506,2.9014
0.8333,20.2624,3.2579
0.8667,19.9014,3.6033
0.9000,19.5132,3.9158
0.9333,19.1480,4.2413
0.9667,23.3205,1.2532
1.0000,23.7700,0.2043
1.0333,22.5304,2.2612
1.0667,17.6674,5.3420
1.1000,17.3201,5.5600
1.1333,3.8890,3.2443
1.1667,3.8890,3.2443
1.2000,3.8890,3.2443
1.2333,3.8890,3.2443
1.2667,3.8890,3.2443
1.3000,3.8890,3.2443
1.3333,3.8890,3.2443
1.3667,0.7492,1.1737
1.4000,14.1691,6.9859
1.4333,0.0545,1.5256
1.4667,23.2932,1.5120
1.5000,13.1041,7.1673
1.5333,23.2660,0.7537
1.5667,23.5112,1.1579
1.6000,12.0714,7.2175
1.6333,22.9716,1.3011
1.6667,23.5725,0.9422
1.7000,23.5657,0.9320
1.7333,23.5112,1.1442
1.7667,0.5925,2.3588
1.8000,23.1979,0.4223
1.8333,9.6919,6.8581
1.8667,9.3445,6.7564
1.9000,8.9972,6.6225
1.9333,23.1843,0.1998
1.9667,23.6065,1.3486
2.0000,7.9756,6.1729
2.0333,7.6350,5.9815
2.0667,0.6947,0.0817
2.1000,6.9471,5.5531
2.1333,11.6194,7.3648
2.1667,23.3954,2.3316
2.2000,5.8946,4.7867
2.2333,5.5501,4.5111
2.2667,11.6194,7.3707
2.3000,4.8494,3.9117
2.3333,4.4884,3.5780
2.3667,4.1578,3.2270
2.4000,2.4792,0.0000
2.4333,23.5657,1.3349
2.4667,3.0785,2.1409
2.5000,9.2356,5.4033
2.5333,2.1250,0.0136
2.5667,2.1250,0.0023
2.6000,0.1362,0.0545
2.6333,0.4904,1.0498
2.6667,0.5001,1.0541
